 ;Feeder On;Feedrate;Totalizer 1;Totalizer 2;Totalizer 3;;;;;;
2019-08-01 06:52:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 06:53:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 06:54:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 06:55:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 06:56:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 06:57:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 06:58:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 06:59:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:00:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:01:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:02:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:03:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:04:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:05:03;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:06:04;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:07:04;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:08:04;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:09:04;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:10:04;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:11:04;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:12:04;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:13:04;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:14:04;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:15:04;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:16:04;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:17:00;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:18:00;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:19:00;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:20:00;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:21:00;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:22:00;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:23:00;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:24:00;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:25:00;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:26:00;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:27:01;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:28:01;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:29:01;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:30:01;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:31:01;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:32:01;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:33:01;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:34:01;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:35:01;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:36:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:37:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:38:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:39:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:40:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:41:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:42:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:43:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:44:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:45:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:46:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:47:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:48:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:49:02;0;           0;     2392722;     2392722;     2392722;;;;;;
2019-08-01 07:50:03;0;           0;     2392722;     2392722;     2392722;;;;;;
